cited_id,citing_id
A012,B001
A012,B002
A012,B003
A012,B004
A015,B005
A017,B006
A027,B007
A028,B008
A028,B009
A028,B010
A028,B011
A028,B012
A028,B013
A028,B014
A030,B015
A030,B016
A030,B017
A030,B018
A030,B019
A030,B020
A030,B021
A030,B022
A030,B023
A030,B024
A030,B025
A030,B026
A030,B027
A030,B028
A030,B029
A030,B030
A030,B031
A030,B032
A030,B033
A030,B034
A030,B035
A030,B036
A030,B037
A031,B038
A031,B039
A031,B040
A032,B041
A032,B042
A032,B043
A032,B044
A032,B045
A032,B046
A032,B047
A032,B048
A032,B049
A032,B050
A032,B051
A032,B052
A032,B053
A032,B054
A032,B055
A032,B056
A032,B057
A032,B058
A032,B059
A032,B060
A032,B061
A032,B062
A032,B063
A032,B064
A032,B065
A032,B066
A032,B067
A032,B068
A032,B069
A032,B070
A032,B071
A032,B072
A033,B073
A033,B074
A033,B075
A033,B076
A033,B077
A033,B078
A033,B079
A033,B080
A033,B081
A033,B082
A033,B083
A033,B084
A033,B085
A033,B086
A033,B087
A033,B088
A033,B089
A033,B090
A033,B091
A033,B092
A033,B093
A033,B094
A033,B095
A033,B096
A033,B097
A033,B098
A033,B099
A033,B100
A033,B101
A033,B102
A033,B103
A033,B104
A033,B105
A033,B106
A033,B107
A033,B108
A033,B109
A033,B110
A033,B111
A033,B112
A033,B113
A033,B114
A033,B115
A033,B116
A033,B117
A033,B118
A033,B119
A033,B120
A033,B121
A033,B122
A033,B123
A033,B124
A033,B125
A033,B126
A033,B127
A033,B128
A033,B129
A033,B130
A033,B131
A033,B132
A033,B133
A033,B134
A033,B135
A033,B136
A033,B137
A033,B138
A033,B139
A033,B140
A033,B141
A033,B142
A033,B143
A033,B144
A033,B145
A033,B146
A033,B147
A033,B148
A033,B149
A033,B150
A033,B151
A033,B152
A033,B153
A033,B154
A033,B155
A033,B156
A033,B157
A033,B158
A033,B159
A033,B160
A033,B161
A033,B162
A033,B163
A033,B164
A033,B165
A033,B166
A033,B167
A033,B168
A033,B169
A033,B170
A033,B171
A033,B172
A033,B173
A033,B174
A033,B175
A033,B176
A033,B177
A033,B178
A033,B179
A033,B180
A033,B181
A033,B182
A033,B183
A033,B184
A033,B185
A033,B186
A033,B187
A033,B188
A033,B189
A033,B190
A033,B191
A033,B192
A033,B193
A033,B194
A033,B195
A033,B196
A033,B197
A033,B198
A033,B199
A033,B200
A033,B201
A033,B202
A033,B203
A033,B204
A033,B205
A034,B206
A034,B207
A034,B208
A034,B209
A034,B210
A034,B211
A034,B212
A034,B213
A034,B214
A034,B215
A034,B216
A034,B217
A034,B218
A034,B219
A034,B220
A034,B221
A034,B222
A034,B223
A034,B224
A034,B225
A034,B226
A034,B227
A034,B228
A034,B229
A034,B230
A034,B231
A034,B232
A034,B233
A034,B234
A034,B235
A034,B236
A034,B237
A034,B238
A034,B239
A034,B240
A034,B241
A035,B242
A035,B243
A035,B244
A037,B245
A037,B246
A037,B247
A038,B248
A038,B249
A038,B250
A038,B251
A038,B252
A038,B253
A038,B254
A038,B255
A038,B256
A038,B257
A038,B258
A038,B259
A038,B260
A039,B261
A039,B262
A039,B263
A039,B264
A039,B265
A039,B266
A039,B267
A039,B268
A039,B269
A039,B270
A039,B271
A039,B272
A039,B273
A039,B274
A039,B275
A039,B276
A039,B277
A039,B278
A039,B279
A039,B280
A040,B281
A040,B282
A040,B283
A040,B284
A040,B285
A040,B286
A040,B287
A040,B288
A040,B289
A040,B290
A040,B291
A040,B292
A040,B293
A040,B294
A040,B295
A040,B296
A040,B297
A040,B298
A040,B299
A040,B300
A040,B301
A040,B302
A040,B303
A040,B304
A040,B305
A040,B306
A040,B307
A040,B308
A040,B309
A040,B310
A040,B311
A040,B312
A040,B313
A040,B314
A040,B315
A040,B316
A040,B317
A040,B318
A040,B319
A040,B320
A040,B321
A040,B322
A040,B323
A040,B324
A040,B325
A040,B326
A040,B327
A040,B328
A040,B329
A040,B330
A040,B331
A040,B332
A040,B333
A040,B334
A040,B335
A040,B336
A040,B337
A040,B338
A040,B339
A040,B340
A040,B341
A040,B342
A040,B343
A040,B344
A040,B345
A040,B346
A040,B347
A040,B348
A040,B349
A040,B350
A040,B351
A040,B352
A040,B353
A040,B354
A040,B355
A040,B356
A040,B357
A040,B358
A040,B359
A040,B360
A040,B361
A040,B362
A040,B363
A040,B364
A040,B365
A040,B366
A040,B367
A040,B368
A040,B369
A040,B370
A040,B371
A040,B372
A040,B373
A040,B374
A040,B375
A040,B376
A040,B377
A040,B378
A040,B379
A040,B380
A040,B381
A040,B382
A040,B383
A040,B384
A040,B385
A040,B386
A040,B387
A040,B388
A040,B389
A040,B390
A040,B391
A040,B392
A040,B393
A040,B394
A040,B395
A040,B396
A040,B397
A040,B398
A040,B399
A040,B400
A040,B401
A040,B402
A040,B403
A040,B404
A040,B405
A040,B406
A040,B407
A040,B408
A040,B409
A040,B410
A040,B411
A040,B412
A040,B413
A040,B414
A040,B415
A040,B416
A040,B417
A040,B418
A040,B419
A040,B420
A040,B421
A040,B422
A040,B423
A040,B424
A040,B425
A040,B426
A040,B427
A040,B428
A040,B429
A040,B430
A040,B431
A040,B432
A040,B433
A040,B434
A040,B435
A040,B436
A040,B437
A040,B438
A040,B439
A040,B440
A040,B441
A040,B442
A040,B443
A040,B444
A040,B445
A040,B446
A040,B447
A040,B448
A040,B449
A040,B450
A040,B451
A040,B452
A040,B453
A040,B454
A040,B455
A040,B456
A040,B457
A040,B458
A040,B459
A040,B460
A040,B461
A040,B462
A040,B463
A040,B464
A040,B465
A040,B466
A040,B467
A040,B468
A040,B469
A040,B470
A040,B471
A040,B472
A040,B473
A040,B474
A040,B475
A040,B476
A040,B477
A040,B478
A040,B479
A040,B480
A040,B481
A040,B482
A040,B483
A040,B484
A040,B485
A040,B486
A040,B487
A040,B488
A040,B489
A040,B490
A040,B491
A040,B492
A040,B493
A040,B494
A040,B495
A040,B496
A040,B497
A040,B498
A040,B499
A040,B500
A040,B501
A040,B502
A040,B503
A040,B504
A040,B505
A040,B506
A040,B507
